Validation_Set,Topics,Alpha,Beta,Coherence
100% Corpus,9,0.31,0.9099999999999999,0.4578202305522547
100% Corpus,9,0.31,symmetric,0.3617836266043427
100% Corpus,9,0.61,0.01,0.3156232085222729
100% Corpus,9,0.61,0.31,0.3599843556779604
100% Corpus,9,0.61,0.61,0.4084437876976307
100% Corpus,9,0.61,0.9099999999999999,0.44635448437735653
100% Corpus,9,0.61,symmetric,0.35934810431566977
100% Corpus,9,0.9099999999999999,0.01,0.3265093111553244
100% Corpus,9,0.9099999999999999,0.31,0.38107112404739074
100% Corpus,9,0.9099999999999999,0.61,0.3873215493496691
100% Corpus,9,0.9099999999999999,0.9099999999999999,0.4228377339329074
100% Corpus,9,0.9099999999999999,symmetric,0.34533779083811256
100% Corpus,9,symmetric,0.01,0.3251253948264642
100% Corpus,9,symmetric,0.31,0.38734592166887405
100% Corpus,9,symmetric,0.61,0.43750661434867705
100% Corpus,9,symmetric,0.9099999999999999,0.4813807199990304
100% Corpus,9,symmetric,symmetric,0.3778740068204088
100% Corpus,9,asymmetric,0.01,0.3397348201993194
100% Corpus,9,asymmetric,0.31,0.34398909256055843
100% Corpus,9,asymmetric,0.61,0.4182786284958421
100% Corpus,9,asymmetric,0.9099999999999999,0.47253502057459407
100% Corpus,9,asymmetric,symmetric,0.37047454182757883
100% Corpus,10,0.01,0.01,0.33219118090369243
100% Corpus,10,0.01,0.31,0.3890887097834851
100% Corpus,10,0.01,0.61,0.42882976802756934
100% Corpus,10,0.01,0.9099999999999999,0.46319761972223655
100% Corpus,10,0.01,symmetric,0.37200698033053214
100% Corpus,10,0.31,0.01,0.32427967113375317
100% Corpus,10,0.31,0.31,0.37895495012645897
100% Corpus,10,0.31,0.61,0.43471001979366203
100% Corpus,10,0.31,0.9099999999999999,0.4717201894427629
100% Corpus,10,0.31,symmetric,0.36741385670641913
100% Corpus,10,0.61,0.01,0.3175630553887236
100% Corpus,10,0.61,0.31,0.38611039600012986
100% Corpus,10,0.61,0.61,0.40013117037277857
100% Corpus,10,0.61,0.9099999999999999,0.4553646725731805
100% Corpus,10,0.61,symmetric,0.361324409583122
100% Corpus,10,0.9099999999999999,0.01,0.3276932106391342
100% Corpus,10,0.9099999999999999,0.31,0.3544769234338432
100% Corpus,10,0.9099999999999999,0.61,0.3794670249960044
100% Corpus,10,0.9099999999999999,0.9099999999999999,0.44988713524258045
100% Corpus,10,0.9099999999999999,symmetric,0.32423752914025744
100% Corpus,10,symmetric,0.01,0.33645937491688443
100% Corpus,10,symmetric,0.31,0.39703702333524127
100% Corpus,10,symmetric,0.61,0.4327923481825686
100% Corpus,10,symmetric,0.9099999999999999,0.4840498899846784
100% Corpus,10,symmetric,symmetric,0.3746985003821704
100% Corpus,10,asymmetric,0.01,0.34371986298985335
100% Corpus,10,asymmetric,0.31,0.36975209444888874
100% Corpus,10,asymmetric,0.61,0.4187766608275288
100% Corpus,10,asymmetric,0.9099999999999999,0.48261530464607183
100% Corpus,10,asymmetric,symmetric,0.3679380940509929
