Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,4,0.31,0.9099999999999999,0.4579213997310584
75% Corpus,4,0.31,symmetric,0.3654322244464431
75% Corpus,4,0.61,0.01,0.3260986154369146
75% Corpus,4,0.61,0.31,0.374733400587747
75% Corpus,4,0.61,0.61,0.420885561036991
75% Corpus,4,0.61,0.9099999999999999,0.42345405993212903
75% Corpus,4,0.61,symmetric,0.3468159582346385
75% Corpus,4,0.9099999999999999,0.01,0.3276932106391342
75% Corpus,4,0.9099999999999999,0.31,0.3471101356682581
75% Corpus,4,0.9099999999999999,0.61,0.3972487055818772
75% Corpus,4,0.9099999999999999,0.9099999999999999,0.4054980491767301
75% Corpus,4,0.9099999999999999,symmetric,0.33141041883997313
75% Corpus,4,symmetric,0.01,0.34050670166948643
75% Corpus,4,symmetric,0.31,0.4013311233409317
75% Corpus,4,symmetric,0.61,0.4301891045977424
75% Corpus,4,symmetric,0.9099999999999999,0.47869483561470083
75% Corpus,4,symmetric,symmetric,0.3658456850107588
75% Corpus,4,asymmetric,0.01,0.33571847431887475
75% Corpus,4,asymmetric,0.31,0.37093717627098755
75% Corpus,4,asymmetric,0.61,0.39164125080854795
75% Corpus,4,asymmetric,0.9099999999999999,0.4515125009988701
75% Corpus,4,asymmetric,symmetric,0.3763026542129224
75% Corpus,5,0.01,0.01,0.33634660162334173
75% Corpus,5,0.01,0.31,0.3952545964323332
75% Corpus,5,0.01,0.61,0.413496271074557
75% Corpus,5,0.01,0.9099999999999999,0.4558022973862257
75% Corpus,5,0.01,symmetric,0.35342395725791925
75% Corpus,5,0.31,0.01,0.3387426132488342
75% Corpus,5,0.31,0.31,0.38643558303148995
75% Corpus,5,0.31,0.61,0.4471009052844117
75% Corpus,5,0.31,0.9099999999999999,0.44925541172371597
75% Corpus,5,0.31,symmetric,0.3661668338295296
75% Corpus,5,0.61,0.01,0.3219704382762918
75% Corpus,5,0.61,0.31,0.3666988451607267
75% Corpus,5,0.61,0.61,0.3900901743382482
75% Corpus,5,0.61,0.9099999999999999,0.4458196635510494
75% Corpus,5,0.61,symmetric,0.36071713576682163
75% Corpus,5,0.9099999999999999,0.01,0.3286371395601121
